TABLE ID	ID	STUDY	SPECIES	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t
table1	27a	Dumbrava_a	Rat	Lesion_Perilesion	Iba1_cells	15,00	3,24	0,52	15,00	2,20	0,35
table1	27b	Dumbrava_b	Rat	Lesion_Perilesion	Iba1_cells	15,00	3,24	0,52	15,00	2,63	0,95
table1	27c	Dumbrava_c	Rat	Lesion_Perilesion	Iba1_cells	15,00	4,97	1,60	15,00	4,02	0,43
table1	27d	Dumbrava_d	Rat	Lesion_Perilesion	Iba1_cells	15,00	4,97	1,60	15,00	4,06	1,13
table1	1	Chu	Mice 	Lesion_Perilesion	Iba1_cells	6,00	9,95	2,42	6,00	4,45	1,74
table1	16	Xin	Mice 	Ipsilateral_cortex	Iba1_cells	6,00	9,40	1,90	6,00	3,78	0,82
table2	24	Ophelders	Ewe	Cortex	Iba1_area	6,00	40,70	22,03	5,00	63,78	7,68
table2	24	Ophelders	Ewe	Hippocampus	Iba1_area	6,00	77,56	13,42	5,00	44,87	32,91
table2	25	Labusek	Mice 	Cortex	Iba1_area	8,00	3,79	3,59	10,00	0,62	0,35
table2	25	Labusek	Mice 	Striatum	Iba1_area	8,00	23,55	17,59	10,00	9,48	9,11
table2	20	Zhang	Rat	Lesion_Perilesion	Iba1_area	6,00	11,26	1,11	6,00	5,93	0,51
table2	10	Kaminski	Mice 	Striatum	Iba1_area	12,00	20,20	12,40	12,00	9,80	7,60
table3	25	Labusek	Mice 	Cortex	Iba1_intensity	8,00	980,00	114,10	10,00	820,60	110,40
table3	25	Labusek	Mice 	Striatum	Iba1_intensity	8,00	1018,00	352,30	10,00	772,20	166,30
table3	10	Kaminski	Mice 	Striatum	Iba1_intensity	12,00	649,40	92,40	12,00	537,40	126,70
table3	3	Dong	Rat	Cortex	Iba1_intensity	4,00	1,46	0,18	4,00	0,60	0,10
table4	1	Chu	Mice 	Ipsilateral_cortex	CD11b_CD45low_cells	12,00	25,86	2,02	12,00	77,17	10,91
