"table.id"	"id"	"study"	"culture.type"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table12"	"11"	"Li (2021)"	"BV2"	"TNF-?_ sol_protein"	3	198.32	30.13	3	105.43	22.6	-2.78289986947024	2.32865738957188	-5.77379295842301	0.20799321948253	3	3	29.7477184876403
"table12"	"21"	"Zhang (2021)"	"BV2"	"TNF-?_ sol_protein"	3	821.91	142.36	3	388.13	31.64	-3.35634642067686	3.08416951014068	-6.79839670637081	0.0857038650170869	3	3	22.4605827440359
"table12"	"9"	"Jiang (2018)"	"Primary"	"TNF-?_ sol_protein"	5	95.53	9.47	5	63.15	6.32	-3.63074168737081	1.44946185769528	-5.99041285906046	-1.27107051568116	5	5	47.7916987683238
"table13"	"18"	"Xin (2022)"	"BV2"	"IL-1?_mRNA"	6	1.41	0.19	6	1.12	0.19	-1.40840119123892	0.453215337459208	-2.72787383428861	-0.0889285481892306	6	6	76.3513581927414
"table13"	"21"	"Zhang (2021)"	"BV2"	"IL-1?_mRNA"	3	50.96	8.54	3	16.99	3.79	-4.10255281071432	4.27861720899783	-8.15670276081217	-0.0484028606164717	3	3	23.6486418072586
"table14"	"11"	"Li (2021)"	"BV2"	"IL-1? _sol_protein"	3	232.22	36.4	3	131.8	22.59	-2.64499903788706	2.16802538835156	-5.5308923573935	0.240894281619382	3	3	54.1104634335715
"table14"	"21"	"Zhang (2021)"	"BV2"	"IL-1? _sol_protein"	3	278.54	23.73	3	150.68	31.64	-3.64790291541927	3.52241529969383	-7.32638267248697	0.0305768416484207	3	3	33.3046641347625
"table14"	"8"	"Hu (2021)"	"BV2"	"IL-1? _sol_protein"	3	111.84	3.22	3	75.63	5.57	-6.35065556030956	9.32173600776992	-12.3347231577912	-0.366587962827911	3	3	12.584872431666
"table15"	"11"	"Li (2021)"	"BV2"	"IL-6_sol_protein"	3	156.9	30.12	3	105.43	11.31	-1.80514326341112	1.3659558077423	-4.09583376767616	0.48554724085392	3	3	45.7129460880435
"table15"	"21"	"Zhang (2021)"	"BV2"	"IL-6_sol_protein"	3	821.92	102.81	3	347.03	94.9	-3.82989746653067	3.8144710002114	-7.65783859330417	-0.00195633975716358	3	3	16.3697310045124
"table15"	"9"	"Jiang (2018)"	"Primary"	"IL-6_sol_protein"	5	152.08	14.59	5	100	8.33	-3.95738824182899	1.64678989469783	-6.47255733491537	-1.44221914874261	5	5	37.9173229074442
"table16"	"12"	"Liu (2021)"	"BV2"	"Arg-1_mRNA"	3	8.59	0.65	3	15.42	1.45	4.85003722343156	5.71471585415028	0.164650833208644	9.53542361365448	3	3	15.9913284459344
"table16"	"7a"	"Hu_a (2022)"	"BV2"	"Arg-1_mRNA"	6	1.44	1.81	6	13.73	2.32	5.45038946964123	2.12871299411341	2.59078052645282	8.30999841282964	6	6	42.9301171419622
"table16"	"7b"	"Hu_b (2022)"	"BV2"	"Arg-1_mRNA"	6	1.44	1.81	6	18.79	3.62	5.59413427823521	2.22466198012021	2.67078903919901	8.51747951727141	6	6	41.0785544121034
"table11"	"18"	"Xin (2022)"	"BV2"	"TNF-?_mRNA"	6	1.87	0.29	6	0.37	0.1	-6.38106887041393	2.79420004232032	-9.6573173956872	-3.10482034514066	6	6	72.4266916881551
"table11"	"21"	"Zhang (2021)"	"BV2"	"TNF-?_mRNA"	3	44.38	4.75	3	16.98	2.86	-5.57620660707838	7.33951336892093	-10.8860501424986	-0.266363071658178	3	3	27.5733083118449
