"ID"	"SMD"	"CI_lower"	"CI_upper"	"pvalue"	"zvalue"	"I2"	"tau2"	"logLik"	"deviance"	"AIC"	"BIC"	"AICc"	"sum_sample_size_c"	"sum_sample_size_t"	"sum_indiv_size_c"	"sum_indiv_size_t"
"table1"	-1.45	-2.19	-0.71	0	-3.853	70.23	0.55	-8.463	13.47	20.926	20.51	24.926	72	72	72	72
"table10"	-2.93	-6.73	0.86	0.13	-1.515	85.68	6.51	-4.359	5.692	12.719	10.105	24.719	14	16	14	16
"table2"	-1.1	-2.1	-0.11	0.03	-2.168	91.68	0.77	-8.209	17.178	20.417	19.19	32.417	46	48	32	33
"table3"	-1.25	-2.09	-0.4	0.004	-2.902	56.79	0.29	-4.569	7.228	13.137	11.335	25.137	32	36	24	26
"table4"	5.75	4.11	7.39	0	6.884	0	0	-2.545	0.702	9.091	6.477	21.091	18	18	18	18
"table5"	1.95	1.01	2.88	0	4.082	59.92	0.88	-11.878	13.489	27.757	27.649	30.757	44	44	44	44
"table6"	-1.84	-2.62	-1.05	0	-4.564	4.92	0.04	-6.346	4.262	16.692	15.911	22.692	24	24	24	24
"table7"	-2.37	-4.09	-0.65	0.007	-2.702	71.08	1.1	-2.771	3.483	9.542	6.928	21.542	18	18	18	18
"table8"	-2.13	-2.96	-1.3	0	-5.024	41.15	0.54	-14.991	13.691	33.981	34.14	36.381	44	44	44	44
"table9"	1.79	1.06	2.52	0	4.804	47.46	0.55	-14.041	14.658	32.082	32.476	34.082	52	52	52	52
